	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series9_NHBE_Mock_1	Series9_NHBE_Mock_2	Series9_NHBE_Mock_3	Series9_NHBE_Mock_4	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3	Series9_NHBE_IAV_1	Series9_NHBE_IAV_2	Series9_NHBE_IAV_3	Series9_NHBE_IAV_4	Series9_NHBE_IAVdNS1_1	Series9_NHBE_IAVdNS1_2	Series9_NHBE_IAVdNS1_3	Series9_NHBE_IAVdNS1_4	Series2_A549_Mock_1	Series2_A549_Mock_2	Series2_A549_Mock_3	Series3_A549_Mock_1	Series3_A549_Mock_2	Series4_A549_Mock_1	Series4_A549_Mock_2	Series5_A549_Mock_1	Series5_A549_Mock_2	Series5_A549_Mock_3	Series8_A549_Mock_1	Series8_A549_Mock_2	Series8_A549_Mock_3	Series2_A549_SARS-CoV-2_1	Series2_A549_SARS-CoV-2_2	Series2_A549_SARS-CoV-2_3	Series5_A549_SARS-CoV-2_1	Series5_A549_SARS-CoV-2_2	Series5_A549_SARS-CoV-2_3	Series4_A549_IAV_1	Series4_A549_IAV_2	Series3_A549_RSV_1	Series3_A549_RSV_2	Series8_A549_HPIV3_3	Series8_A549_HPIV3_2	Series8_A549_HPIV3_1	Series7_Calu3_Mock_1	Series7_Calu3_Mock_2	Series7_Calu3_Mock_3	Series7_Calu3_SARS-CoV-2_1	Series7_Calu3_SARS-CoV-2_2	Series7_Calu3_SARS-CoV-2_3	Series15_HealthyLungBiopsy_2	Series15_HealthyLungBiopsy_1	Series15_COVID19Lung_2	Series15_COVID19Lung_1
OR7E12P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1972245773362196	2.4849066497880004	0.0	0.0
VENTX	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.995732273553991	3.4011973816621555	0.0	0.0
ODAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	6.9411900550683745	7.394493107219038	8.258940462988459	7.952615111651	7.3537223303996315	7.989221408815276	2.5649493574615367	2.8903717578961645	0.0	0.0
PTGDR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1780538303479458	3.6375861597263857	0.0	0.0
KRT6A	11.07987844927599	11.019022508400145	11.598580088652863	11.251171014528364	11.263771558223787	11.449101355246707	12.007420467046778	11.160612422663181	11.004879308237822	12.178064041110861	12.517417532219287	11.211793344794042	11.70650013399209	11.05890541502569	11.95350672016767	11.524369728854486	11.82876487263035	12.165224609004161	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.6931471805599453	1.0986122886681098	0.6931471805599453	0.0	0.0	0.6931471805599453	0.0	0.6931471805599453	0.6931471805599453	0.6931471805599453	1.6094379124341003	1.6094379124341003	0.6931471805599453	0.0	0.0	0.0	1.0986122886681098	1.3862943611198906	0.6931471805599453	1.6094379124341003	3.4011973816621555	0.0	0.6931471805599453
PTCRA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.772588722239781	2.3978952727983707	0.0	0.0
F2RL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.904750769961838	6.734591659972948	0.0	0.0
TTTY10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3862943611198906	1.6094379124341003	0.0	0.0
C4orf51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6094379124341003	1.3862943611198906	0.0	0.0
KRT5	11.68332625086849	11.624153731655937	12.044711868644091	11.227520797262487	11.25587605162622	11.422004637847426	11.94088239171362	11.468733214177846	11.426223131130936	12.524937201339597	12.311112609816899	11.061814244976317	11.673333668452292	10.971829619297056	11.6776005682537	11.323313396864812	11.587875225577756	12.19939540227685	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.6931471805599453	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	1.0986122886681098	0.0	0.6931471805599453	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	1.3862943611198906	0.0	0.0	0.0	3.871201010907891	3.044522437723423	1.791759469228055	0.0
SIGLEC17P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.624972813284271	4.465908118654584	0.6931471805599453	0.0
KRT14	10.079329830732325	10.02446547908903	10.584916340141875	10.463046195981693	10.41355288735571	10.76195847542619	11.270446177349276	10.050570457237374	9.884151816229386	11.091483402338923	11.665989840697065	10.41819562981634	10.85180007043302	10.127790431570185	11.16284302833769	10.876120809948317	10.884535531625561	11.866992009992392	0.6931471805599453	0.0	0.0	1.0986122886681098	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.6931471805599453	4.290459441148391	5.0689042022202315	5.69035945432406	4.941642422609304	4.0943445622221	4.844187086458591	0.0	1.791759469228055	0.0	0.0
ARHGEF15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.957877358489813	7.57198844937744	0.0	0.0
OR51I1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6094379124341003	1.9459101490553132	0.0	0.0
KCNA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6094379124341003	1.9459101490553132	0.0	0.0
IL5RA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9889840465642745	3.295836866004329	0.0	0.0
NRG3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1298987149230735	5.53338948872752	6.672032945461067	5.802118375377063	5.402677381872279	5.902633333401366	2.3978952727983707	3.2188758248682006	0.0	0.0
OR4C6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.302585092994046	2.3978952727983707	2.302585092994046	2.6390573296152584	1.9459101490553132	2.5649493574615367	0.0	0.0	0.0	0.0
CPLX2	0.0	0.6931471805599453	0.6931471805599453	0.0	0.0	0.0	0.0	2.302585092994046	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	10.41538260426014	9.867860374892977	9.586445324777861	10.828103533156273	10.61071020720062	8.978912601074276	9.61413742298365	10.725994938401781	10.69471380325571	10.72368579868446	9.066239028001926	9.472704636443673	10.095346813810572	10.506299656914493	10.410877280366218	10.154557506491177	9.720765915720834	9.440816970657185	10.195671974185327	8.524367395164237	7.372118028337787	9.320180837655714	9.024974184996003	9.775767810933758	9.731037115537436	9.755567422459507	0.6931471805599453	1.0986122886681098	0.6931471805599453	1.0986122886681098	1.0986122886681098	0.0	1.0986122886681098	1.3862943611198906	2.995732273553991	1.6094379124341003
KRT6C	4.454347296253507	4.532599493153256	4.90527477843843	5.062595033026967	5.0238805208462765	5.087596335232384	5.472270673671475	4.248495242049359	4.02535169073515	4.875197323201151	5.91350300563827	4.48863636973214	5.87493073085203	5.278114659230517	5.6131281063880705	5.288267030694535	5.926926025970411	6.440946540632921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.0
LCN6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.400257445308821	7.277938572945661	1.0986122886681098	0.0
A2ML1	7.305188215393037	7.145196134997171	7.676473646389156	7.365180126021013	7.44716835960004	7.324489979348532	8.010027528481734	7.138866999945524	7.155396301896734	8.564076777315087	7.818430272070656	6.214608098422191	7.763871287820222	7.176254532017144	7.5352967024440884	6.9650803456014065	7.7706452341291765	7.259116128097101	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	1.6094379124341003	2.4849066497880004	1.9459101490553132	2.1972245773362196	2.302585092994046	1.9459101490553132	1.0986122886681098	0.0	0.0
CCL23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	5.69035945432406	5.204006687076795	0.0	0.6931471805599453
CHIAP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1780538303479458	3.9512437185814275	0.0	0.0
MIR205HG	7.578656850594762	7.729295674310482	8.214465160759186	6.756932389247553	6.748759547491679	7.134093721192866	7.733245646529795	7.541683099882111	7.368970402194793	8.492080490601163	8.121183242078828	6.568077911411976	7.498869733976931	6.70808408385307	7.337587743538596	6.81783057145415	7.448333860897476	8.355144739461839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	1.3862943611198906	3.5553480614894135	0.0	0.0
IVL	7.003065458786462	7.119635638017636	7.452402451223638	6.8966943316227125	6.9363427358340495	7.062191632286556	7.784473235736469	7.748028524432376	7.4067107301776405	8.867004635333567	6.777646593635117	5.313205979041787	7.074116816197362	6.546785410760524	7.402451520818244	6.70808408385307	7.105786129481271	7.584773077612199	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0986122886681098	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	2.833213344056216	3.1780538303479458	4.060443010546419	3.5553480614894135	2.9444389791664403	3.4657359027997265	0.0	0.6931471805599453	0.0	0.0
TNFRSF13B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6390573296152584	3.295836866004329	0.0	0.0
NPY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4657359027997265	4.330733340286331	0.0	0.0
PAH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0986122886681098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.852030263919617	4.976733742420574	6.093569770045136	5.631211781821365	5.204006687076795	5.703782474656201	0.0	0.0	0.0	0.0
KLK7	7.434847875211999	7.352441100243583	7.7142311448490855	6.943122422819428	7.167809184316444	7.291656209174461	7.936660155225426	7.291656209174461	7.1316985104669115	8.564076777315087	6.827629234502852	5.153291594497779	7.3343293503005365	6.7912214627261855	7.9603236291488395	7.344719054149673	7.592366128519796	7.9215356321335495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	4.700480365792417	5.25227342804663	5.978885764901122	4.51085950651685	4.499809670330265	4.8283137373023015	4.31748811353631	2.0794415416798357	0.0	0.0
GPR22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0986122886681098	1.3862943611198906	0.0	0.0
KCNQ1DN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3862943611198906	1.0986122886681098	0.0	0.0
DSG3	8.61794309451638	8.578476419833136	9.102086786535928	7.402451520818244	7.432483807917119	7.635786861395585	8.434463543817241	8.270781013162674	8.369620826949102	9.384965722135666	9.085343881801498	7.492203042618741	8.619569258033104	8.09925056179696	8.328692583545568	7.633853559681768	8.816853240627426	8.274611946209552	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31748811353631	4.8283137373023015	5.846438775057725	6.490723534502507	5.71042701737487	6.393590753950631	2.4849066497880004	0.0	0.0	0.0
KRT17	10.252523392677578	10.216106110277941	10.665437586530738	10.967818907227363	11.041352605125939	11.19833800020246	11.751595848717828	10.56196564556078	10.346023628853391	11.525308478015557	12.01031320342873	10.567077180853747	11.350430064607407	10.710476679519195	11.733128697781618	11.446539905774255	11.685524914865947	12.608683684655432	1.0986122886681098	0.6931471805599453	1.0986122886681098	1.3862943611198906	0.0	0.0	0.6931471805599453	1.6094379124341003	1.3862943611198906	1.0986122886681098	0.0	0.6931471805599453	0.0	1.0986122886681098	0.6931471805599453	0.0	0.6931471805599453	1.0986122886681098	0.0	0.0	0.6931471805599453	1.0986122886681098	0.0	2.70805020110221	1.9459101490553132	2.4849066497880004	7.822044008185619	8.649448770536708	9.220587688427733	9.568014816247999	8.90150275745161	9.604879339950793	4.382026634673881	7.709308333385869	0.0	0.0
SERPINB5	8.80492526261806	8.68169016329764	9.38151671766514	8.399984990510696	8.45638105201948	9.048174321385792	9.750627705891793	8.492695559815838	8.60135049942296	9.702105493003431	10.25885163767476	8.675392806089782	8.807022955925477	8.200837258379849	9.381179591661104	8.731013415269564	8.776938645174996	8.789203094473724	0.6931471805599453	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	1.6094379124341003	1.0986122886681098	0.0	0.6931471805599453	0.0	0.6931471805599453	0.0	6.60934924316738	6.960347729101308	7.8551570058813445	7.617759576608505	6.97914527506881	7.503289630675082	0.0	3.044522437723423	0.0	0.0
